"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
"IMF.RES:WEO(9.0.0)","USA.LUR.A","OBS_VALUE","United States","Unemployment rate","Annual","Units","3.967","4.742","5.783","5.992","5.542","5.083","4.608","4.617","5.800","9.283","9.608","8.933","8.075","7.358","6.158","5.275","4.875","4.358","3.892","3.675","8.100","5.350","3.650","3.625","4.025","4.279","4.376"
"IMF.RES:WEO(9.0.0)","USA.NGDPPC.A","OBS_VALUE","United States","Gross domestic product (GDP), Current prices, Per capita, Domestic currency","Annual","Units","36312.782","37101.453","37945.761","39405.354","41641.617","44034.256","46216.853","47943.353","48470.553","47102.428","48586.288","50008.108","51736.738","53363.904","55263.817","57006.926","58179.697","60292.978","63165.278","65561.320","64517.998","71365.730","77948.992","82536.095","86173.365","89991.152","94429.753"
"IMF.RES:WEO(9.0.0)","USA.PCPIEPCH.A","OBS_VALUE","United States","All Items, Consumer price index (CPI), End-of-period (EoP), percent change","Annual","Units","3.427","1.552","2.616","1.909","3.209","3.683","2.199","4.084","0.701","1.919","1.689","3.086","1.822","1.319","0.524","0.695","2.197","2.178","1.921","2.096","1.573","7.401","6.403","3.239","2.724","2.886","2.751"
"IMF.RES:WEO(9.0.0)","USA.NGDP_RPCH.A","OBS_VALUE","United States","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","4.078","0.956","1.700","2.796","3.848","3.483","2.785","2.004","0.114","-2.576","2.695","1.564","2.289","2.118","2.524","2.946","1.820","2.458","2.967","2.584","-2.081","6.152","2.524","2.935","2.793","2.117","2.324"
"IMF.RES:WEO(9.0.0)","IND.PCPIEPCH.A","OBS_VALUE","India","All Items, Consumer price index (CPI), End-of-period (EoP), percent change","Annual","Units","2.932","5.608","4.772","3.857","4.397","4.065","6.782","6.442","9.060","12.570","8.554","7.787","10.454","8.123","5.287","5.338","3.512","4.605","2.456","6.694","4.875","6.346","6.195","5.047","3.707","3.281","4.744"
"IMF.RES:WEO(9.0.0)","IND.NGDP_RPCH.A","OBS_VALUE","India","Gross domestic product (GDP), Constant prices, Percent change","Annual","Units","3.841","4.824","3.804","7.860","7.923","7.923","8.061","7.661","3.087","7.862","8.498","5.241","5.456","6.386","7.410","7.996","8.256","6.795","6.454","3.871","-5.778","9.690","7.609","7.210","7.099","7.618","6.478"
"IMF.RES:WEO(9.0.0)","IND.LUR.A","OBS_VALUE","India","Unemployment rate","Annual","Units","","","","","","","","","","","","","","","","","","","8.901","7.484","8.662","7.365","5.300","4.939","4.939","4.939","4.939"
"IMF.RES:WEO(9.0.0)","IND.NGDPPC.A","OBS_VALUE","India","Gross domestic product (GDP), Current prices, Per capita, Domestic currency","Annual","Units","20227.281","21479.201","22709.631","25004.678","28048.889","31455.828","36275.101","41141.838","45649.546","51948.441","61395.924","69268.601","77564.944","86236.812","94265.384","102618.158","113029.941","123723.282","134971.683","141705.936","138221.755","162500.276","183227.197","201547.339","219219.280","236709.957","260409.359"
